rep_id,G,group_size,V_slope_asymp,t_cce,t_bch,reject_normal,reject_bch
41,8,450,11.289182010711807,0.8762092011152423,0.8196186574280351,FALSE,FALSE
41,12,300,9.709670146972151,0.9447933084336466,0.9045707247211682,FALSE,FALSE
41,16,225,10.299979361159654,0.917320015456546,0.8881912857514832,FALSE,FALSE
41,20,180,9.46726759175671,0.9568122361504238,0.9325852092354969,FALSE,FALSE
42,4,900,13.24398515100489,1.562946004094514,1.3535509442892264,FALSE,FALSE
42,8,450,7.851307120535426,2.0299359457038544,1.8988312064801933,TRUE,FALSE
42,12,300,7.923312898031399,2.0206910300191687,1.9346643685404286,TRUE,FALSE
42,16,225,7.158468931932164,2.1259020212002517,2.0583957809443154,TRUE,FALSE
42,20,180,6.825298408871496,2.17717077057973,2.1220435754369884,TRUE,TRUE
43,4,900,1.0312976261863775,-3.4049938263806303,-2.948811153374806,TRUE,FALSE
43,8,450,2.38196721026454,-2.24047678614966,-2.095774129198104,TRUE,FALSE
43,12,300,9.4725160291732209,-1.123506691689847,-1.0756757623695021,FALSE,FALSE
43,16,225,4.7285529630157,-1.590172391483306,-1.5396777974534162,FALSE,FALSE
43,20,180,5.677747232998681,-1.4511767466296728,-1.4144321307368364,FALSE,FALSE
44,4,900,0.19406674830332313,11.527643988883572,9.983232540156152,TRUE,TRUE
44,8,450,4.795009662835986,2.319110150595388,2.1693289064294152,TRUE,FALSE
44,12,300,6.791230086280432,1.9486861471087884,1.8657249417512092,FALSE,FALSE
44,16,225,4.614781430906924,2.3639623309459195,2.2888966847038033,TRUE,TRUE
44,20,180,8.087096799308812,1.7857464662550042,1.7405303558556866,FALSE,FALSE
45,4,900,4.399132859578895,0.1724173838886012,0.14931783450158242,FALSE,FALSE
45,8,450,15.526749279708763,0.0917749846005034,0.08584763726288457,FALSE,FALSE
45,12,300,14.774984353888845,0.09408081600798371,0.09007552356588004,FALSE,FALSE
45,16,225,12.141936334551248,0.10378166041547071,0.1004861606077179,FALSE,FALSE
45,20,180,11.83306271511779,0.10512742025103912,0.10246553451871834,FALSE,FALSE
46,4,900,29.079753440081202,0.11718963468633682,0.10148920069858569,FALSE,FALSE
46,8,450,19.362421914412593,0.14361662638118866,0.13434105274068195,FALSE,FALSE
46,12,300,14.96198006166654,0.1633766642434755,0.1564212471215091,FALSE,FALSE
46,16,225,12.26357689515175,0.18045793406661897,0.17472764333275284,FALSE,FALSE
46,20,180,12.372898918535165,0.17965893791155207,0.17510987200307004,FALSE,FALSE
47,4,900,4.200815919774315,0.8252370659153908,0.7146762632272617,FALSE,FALSE
47,8,450,3.1932919194663945,0.9465122538093255,0.8853811415344286,FALSE,FALSE
47,12,300,5.53719385983493,0.7187877839690981,0.6881869090961212,FALSE,FALSE
47,16,225,7.832466643595817,0.6043607825068017,0.5851698114374314,FALSE,FALSE
47,20,180,6.397811080141808,0.6686977254683337,0.6517659208981372,FALSE,FALSE
48,4,900,12.699856958847246,7.361130372146101e-5,6.374925902847722e-5,FALSE,FALSE
48,8,450,13.724321026397584,7.08106352000877e-5,6.623728406464076e-5,FALSE,FALSE
48,12,300,13.862365354909993,7.04571795071432e-5,6.745761359619325e-5,FALSE,FALSE
48,16,225,13.918310244263164,7.03154350002631e-5,6.808262718433728e-5,FALSE,FALSE
48,20,180,12.788996949143272,7.335431778206374e-5,7.149694497255384e-5,FALSE,FALSE
49,4,900,8.650804299428552,-0.8061799253501941,-0.6981722953743105,FALSE,FALSE
49,8,450,8.232712772298987,-0.8263970180815926,-0.7730236267782373,FALSE,FALSE
49,12,300,10.355571586963976,-0.7368399860999915,-0.7054705767709352,FALSE,FALSE
49,16,225,9.20059888745783,-0.7817217121906702,-0.7568987931708033,FALSE,FALSE
49,20,180,7.385153835783928,-0.8725301648214016,-0.8504372076156469,FALSE,FALSE
50,4,900,3.9340938356084036,-2.2165024805594515,-1.9195474557157088,TRUE,FALSE
50,8,450,5.570085712294858,-1.8627717364578593,-1.7424634068978178,FALSE,FALSE
50,12,300,7.401836295800287,-1.6159236644811696,-1.5471291204392295,FALSE,FALSE
50,16,225,6.926198844544489,-1.6704870033573265,-1.6174420860147147,FALSE,FALSE
50,20,180,13.25408695819732,-1.2075793312419725,-1.1770027396657448,FALSE,FALSE
51,4,900,3.389807786019257,-0.999668396668723,-0.8657382268755731,FALSE,FALSE
51,8,450,8.659933484547954,-0.6254408177464997,-0.5850463139277813,FALSE,FALSE
51,12,300,16.068227017976884,-0.45915521315413227,-0.43960764774140576,FALSE,FALSE
51,16,225,14.179993089547931,-0.4887710666657668,-0.4732505503261375,FALSE,FALSE
51,20,180,11.038801217053786,-0.5539652757523149,-0.5399385616923201,FALSE,FALSE
52,4,900,3.190496596609783,1.7204671071710198,1.4899682211856273,FALSE,FALSE
52,8,450,3.206304365903304,1.716220730604636,1.6053774935003517,FALSE,FALSE
52,12,300,4.710570744805266,1.4159201150121032,1.3556403005300597,FALSE,FALSE
52,16,225,7.772237369143082,1.1023068060529986,1.0673039755635882,FALSE,FALSE
52,20,180,8.546753035012143,1.0511747962337323,1.0245584559336656,FALSE,FALSE
53,4,900,11.84685345283539,-1.5349864868778444,-1.329337292102042,FALSE,FALSE
53,8,450,11.508494087401575,-1.557387968273678,-1.4568030488910169,FALSE,FALSE
53,12,300,3.65819699908968,-2.7623106643509554,-2.644711110094024,TRUE,TRUE
53,16,225,9.851572021857965,-1.6832681125222604,-1.6298173417501767,FALSE,FALSE
53,20,180,8.151734523041975,-1.8504657485169462,-1.8036109092907657,FALSE,FALSE
54,4,900,5.858709162689215,1.01292004466145,0.8772144906792837,FALSE,FALSE
54,8,450,5.495917850545672,1.0458177748234303,0.9782729505968936,FALSE,FALSE
54,12,300,5.755922565968188,1.0219241530194783,0.9784178861717846,FALSE,FALSE
54,16,225,5.332967717676735,1.0616751635946169,1.0279625569209965,FALSE,FALSE
54,20,180,5.018585570107181,1.0944236474346383,1.0667122217641132,FALSE,FALSE
55,4,900,4.4751130481457295,-0.5387038456669536,-0.4665312154639534,FALSE,FALSE
55,8,450,12.719108045730103,-0.31953891260834805,-0.2989012831806846,FALSE,FALSE
55,12,300,10.191887173517161,-0.35696429433199467,-0.34176729189456384,FALSE,FALSE
55,16,225,10.378186496766405,-0.35374584370484713,-0.34251294036474117,FALSE,FALSE
55,20,180,9.252199245462627,-0.3746533264040723,-0.3651668923059078,FALSE,FALSE
56,4,900,1.209802675077316,4.557119684526126,3.9465814148857516,TRUE,TRUE
56,8,450,9.14236982314875,1.6577472354403302,1.550680547222348,FALSE,FALSE
56,12,300,4.487541189899846,2.366156582108635,2.265422452906893,TRUE,TRUE
56,16,225,10.753814864718978,1.5285034636232337,1.4799671148082847,FALSE,FALSE
56,20,180,10.930535117094355,1.5160970161227105,1.477708582292658,FALSE,FALSE
57,4,900,4.164967290465857,0.0774909641940496,0.06710914355579728,FALSE,FALSE
57,8,450,12.7398913288872,0.04430716887148756,0.04144556142376046,FALSE,FALSE
57,12,300,11.13226111994619,0.047398562420238856,0.04538066852981754,FALSE,FALSE
57,16,225,9.074432337647707,0.05249852829151878,0.05083148144336279,FALSE,FALSE
57,20,180,11.263834960814927,0.04712091585948319,0.045927787622142974,FALSE,FALSE
58,4,900,21.249742292347612,-0.12555419688675395,-0.108733124055682,FALSE,FALSE
58,8,450,15.343869411556465,-0.14775446758644586,-0.13821164876841902,FALSE,FALSE
58,12,300,6.834232912354276,-0.2213926406665518,-0.21196731563191493,FALSE,FALSE
58,16,225,8.993672051053178,-0.1929921056485797,-0.18686380278161288,FALSE,FALSE
58,20,180,9.564763933213786,-0.1871418594300785,-0.1824033217170123,FALSE,FALSE
59,4,900,20.101756571951622,-0.9426930896585388,-0.816396163616336,FALSE,FALSE
59,8,450,15.46665731272224,-1.0747045725442501,-1.005294075614981,FALSE,FALSE
59,12,300,12.133420175091285,-1.2133768634975626,-1.1617199010369283,FALSE,FALSE
59,16,225,10.017513624720504,-1.3353876559040745,-1.2929835380118604,FALSE,FALSE
59,20,180,9.43729667901681,-1.3758260374755087,-1.3409893441507212,FALSE,FALSE
60,4,900,13.758012128258045,0.245216871129077,0.21236403983431557,FALSE,FALSE
60,8,450,7.7989030457752655,0.3256952539325446,0.30466001317848,FALSE,FALSE
60,12,300,9.61568857020935,0.2933175144327938,0.2808301394976677,FALSE,FALSE
60,16,225,7.056840380910762,0.3423915543719749,0.3315191969911825,FALSE,FALSE
60,20,180,7.466388435611127,0.33286865455153863,0.3244402319747105,FALSE,FALSE
61,4,900,6.209953899974268,-2.2286471433230095,-1.9300650421893448,TRUE,FALSE
61,8,450,8.989847579933127,-1.8522915132936466,-1.7326600557934637,FALSE,FALSE
61,12,300,10.126805209765939,-1.745216349832485,-1.6709174422291897,FALSE,FALSE
61,16,225,8.36833516445043,-1.9198441206375711,-1.858881076635884,FALSE,FALSE
61,20,180,8.990135564929773,-1.8522618454185975,-1.80536152800314,FALSE,FALSE
62,4,900,2.9657845179991407,0.6904267179882543,0.5979270772293426,FALSE,FALSE
62,8,450,10.563714398210328,0.36582978398726906,0.3422024283894701,FALSE,FALSE
62,12,300,9.555035236066248,0.38465487388862457,0.3682790033915648,FALSE,FALSE
62,16,225,7.698874570082989,0.4285226323524633,0.41491525464351353,FALSE,FALSE
62,20,180,5.501010863740626,0.5069511759807569,0.4941148855143495,FALSE,FALSE
63,4,900,3.149159012320651,-2.391738871911123,-2.071306622293768,TRUE,FALSE
63,8,450,7.71803413057113,-1.5277690571323728,-1.4290970944760006,FALSE,FALSE
63,12,300,10.642410256821051,-1.3010412277136385,-1.2456521397216243,FALSE,FALSE
