proposal_id,cluster,cells,countries,lon_min,lon_max,lat_min,lat_max,mean_temp,sd_temp_anom,conflict_month_share,total_conflicts,elapsed_seconds,interCor_mean,intraCor_mean,diffCor_mean
temp_ward_pca_k16,7,176,"AGO,BEN,CIV,CMR,COD,COG,GAB,GHA,GIN,GNQ,LBR,NGA,TGO",-11.5,19.5,-6.5,9.5,26.100366525262707,0.46788084267247904,0.03190676930596285,4655,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,8,98,"DJI,ERI,ETH,SOM",38.5,51.5,1.5,14.5,26.589379876577244,0.5932146959222511,0.09279679613780996,7357,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,9,186,"CAF,CMR,COD,COG,ETH,NGA,SDZ,SSD,TCD,UGA",4.5,37.5,2.5,12.5,26.022701579821366,0.7058358422864979,0.06422707827494509,8394,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,10,123,"BFA,GIN,GNB,MLI,MRT,SEN,SLE",-14.5,1.5,7.5,20.5,28.979250165748752,0.7703189121470374,0.027712212605997034,3619,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,11,274,"BEN,BFA,CMR,DZA,GHA,LBY,MLI,NER,NGA,TCD,TGO",-3.5,21.5,7.5,25.5,27.55670430036889,1.0085959796726112,0.016884467467231823,4655,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,12,170,"CAF,ERI,ETH,SDZ,SSD,TCD",17.5,40.5,8.5,18.5,27.922995236203352,1.0136569259116157,0.042726122707147395,4806,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,13,180,"B28,CPV,DZA,GNB,MAR,MLI,MRT,SEN",-25.5,-2.5,11.5,35.5,25.938878804940263,1.016467142412777,0.004928315412186388,510,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,14,279,"EGY,LBY,SDZ,TCD",12.5,37.5,18.5,32.5,24.10104825691313,1.1331778293042503,0.009875900874860257,3352,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,15,90,"DZA,LBY,MLI,TUN",-1.5,16.5,19.5,32.5,24.881616347959973,1.1985904809696795,0.00600358422939068,701,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_ward_pca_k16,16,166,"DZA,MAR,TUN",-6.5,11.5,24.5,37.5,21.96057899531837,1.2876916226594897,0.04090555771472988,5493,2.1189999999999998,0.2288605,0.8490160633797507,0.05420958
temp_hybrid_k20,1,27,"NAM,ZAF",16.5,20.5,-34.5,-27.5,17.662600689874548,0.8811009663965701,0.009657506969334925,126,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,2,120,"BWA,LSO,NAM,ZAF",13.5,31.5,-34.5,-20.5,18.799411177685933,0.9256179783590364,0.012298387096774187,2300,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,3,251,"AGO,BWA,COD,MOZ,NAM,SWZ,ZAF,ZMB,ZWE",14.5,35.5,-28.5,-9.5,22.247765645298376,0.8278496608974675,0.011427408644989936,2170,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,4,27,MDG,43.5,47.5,-25.5,-19.5,23.32604825268817,0.5070914599134687,6.969334926324173e-4,9,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,5,39,MDG,44.5,50.5,-21.5,-12.5,24.3197877291839,0.4352244730495037,0.0018610421836228286,48,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,6,43,"AGO,NAM",11.5,18.5,-19.5,-9.5,22.07026480023131,0.6340802728475473,0.05063765941485371,1377,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,7,91,"COD,MOZ,MWI,TZA,ZMB",27.5,40.5,-18.5,-9.5,23.31333000838946,0.5710058685835551,0.006469337114498403,265,1.439,0.2084737,0.8548068674314033,0.1894085
temp_hybrid_k20,8,20,"COM,MOZ,TZA",36.5,43.5,-11.5,-6.5,25.611895892473118,0.46363462257113236,0.007526881720430109,164,1.439,0.2084737,0.8548068674314033,0.1894085
